"File Name","File Size","File Type","Created","Resolution","Dimensions","Encoding","Data Rate","Duration","Compression","Path Name","Disk Name"
"index.html","10.8 KB","HTML","8/25/2017 9:41:22 AM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\whitehead\index.html","R:"
"12.742.html","881 bytes","HTML","9/6/2017 4:07:43 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\12.742\embed\12.742.html","R:"
"index.html","9 KB","HTML","9/7/2017 5:57:20 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\12.742\index.html","R:"
"12.800^2018f^L01^WHOI^20170906.mp4","813.4 MB","MP4 ","9/8/2017 1:48:49 PM","72","1920 x 616","mp4a","106.3 KB/sec","02:09:51","1:151","R:\hosts\webcast.mit.edu\fall2017\12.800\embed\vod\12.800^2018f^L01^WHOI^20170906.mp4","R:"
"12.800.html","881 bytes","HTML","9/6/2017 4:08:08 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\12.800\embed\12.800.html","R:"
"homePageImage128002017fa.png","1.2 MB","PNG ","9/7/2017 2:12:08 PM","96","1540 x 520","PNG","-","-","1:2","R:\hosts\webcast.mit.edu\fall2017\12.800\holding\homePageImage128002017fa.png","R:"
"index.html","9 KB","HTML","9/6/2017 4:18:26 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\12.800\index.html","R:"
"35X35.gif","124 bytes","GIFf","5/9/2016 9:48:10 PM","96","35 x 35","GIF","-","-","1:9","R:\hosts\webcast.mit.edu\fall2017\engine\1738\images\35X35.gif","R:"
"600X300.gif","2.3 KB","GIFf","5/9/2016 9:48:10 PM","96","600 x 300","GIF","-","-","1:75","R:\hosts\webcast.mit.edu\fall2017\engine\1738\images\600X300.gif","R:"
"1200X400.gif","4.5 KB","GIFf","5/9/2016 9:48:10 PM","96","1200 x 400","GIF","-","-","1:105","R:\hosts\webcast.mit.edu\fall2017\engine\1738\images\1200X400.gif","R:"
"32X32.gif","117 bytes","GIFf","5/9/2016 9:48:10 PM","96","32 x 32","GIF","-","-","1:8","R:\hosts\webcast.mit.edu\fall2017\engine\1738\images\32X32.gif","R:"
"bootstrap.css","149.4 KB","CSS ","9/8/2017 7:07:47 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\css\bootstrap.css","R:"
"bootstrap.js","69.6 KB","JS  ","9/7/2017 1:01:37 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\js\bootstrap.js","R:"
"jquery-1.11.3.min.js","93.7 KB","JS  ","9/7/2017 1:01:37 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\js\jquery-1.11.3.min.js","R:"
"35X35.gif","124 bytes","GIFf","5/9/2016 9:48:10 PM","96","35 x 35","GIF","-","-","1:9","R:\hosts\webcast.mit.edu\fall2017\engine\1738\35X35.gif","R:"
"News Hero 2.jpg","598.6 KB","JPEG","9/7/2017 2:17:22 PM","72","1440 x 500","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\engine\1738\News Hero 2.jpg","R:"
"engine-MIT.png","52.3 KB","PNG ","10/19/2016 8:27:06 AM","72","268 x 44","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\engine\1738\engine-MIT.png","R:"
"bootstrap.js","69.6 KB","JS  ","9/7/2017 12:50:09 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\bootstrap.js","R:"
"sm-hp_community.jpg","192.1 KB","JPEG","9/7/2017 1:44:30 PM","72","650 x 488","Photo - JPEG","-","-","1:4","R:\hosts\webcast.mit.edu\fall2017\engine\1738\sm-hp_community.jpg","R:"
"jquery-1.11.3.min.js","93.7 KB","JS  ","5/9/2016 9:49:02 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\jquery-1.11.3.min.js","R:"
"Untitled-3.html","3.5 KB","HTML","9/7/2017 4:26:15 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\Untitled-3.html","R:"
"bootstrap.css","149.2 KB","CSS ","9/7/2017 12:52:39 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\bootstrap.css","R:"
"600X300.gif","2.3 KB","GIFf","5/9/2016 9:48:10 PM","96","600 x 300","GIF","-","-","1:75","R:\hosts\webcast.mit.edu\fall2017\engine\1738\600X300.gif","R:"
"Untitled-1.html","5.9 KB","HTML","9/7/2017 1:00:00 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\Untitled-1.html","R:"
"1200X400.gif","4.5 KB","GIFf","5/9/2016 9:48:10 PM","96","1200 x 400","GIF","-","-","1:105","R:\hosts\webcast.mit.edu\fall2017\engine\1738\1200X400.gif","R:"
